,areaQ1,areaQ2,areaQ3,areaQ4,blobs,diagnostic,distanceQ1,distanceQ2,distanceQ3,distanceQ4,horizontalDiagQ1,horizontalDiagQ2,horizontalDiagQ3,horizontalDiagQ4,perimeterQ1,perimeterQ2,perimeterQ3,perimeterQ4,verticalDiagQ1,verticalDiagQ2,verticalDiagQ3,verticalDiagQ4
22,33.0,86.0,13.0,63.0,4.0,P,44.553338819890925,40.311288741492746,44.598206241955516,39.59797974644666,7.280109889280518,13.0,7.0710678118654755,10.770329614269007,22.485281229019165,47.79898953437805,17.656854152679443,30.97056245803833,6.324555320336759,14.142135623730951,5.830951894845301,9.055385138137417
23,27.0,68.0,0.0,0.0,2.0,P,45.27692569068709,41.72529209005013,0.0,0.0,8.06225774829855,10.198039027185569,0.0,0.0,22.485281229019165,31.79898953437805,0.0,0.0,5.830951894845301,10.0,0.0,0.0
24,4.0,0.0,0.0,8.0,2.0,P,44.598206241955516,0.0,0.0,42.5205832509386,2.8284271247461903,0.0,0.0,4.242640687119285,8.0,0.0,0.0,10.828427076339722,2.0,0.0,0.0,3.1622776601683795
25,0.0,30.0,27.0,64.5,3.0,P,0.0,43.86342439892262,43.86342439892262,40.311288741492746,0.0,8.54400374531753,7.810249675906654,10.44030650891055,0.0,25.313708305358887,20.485281229019165,33.55634891986847,0.0,6.708203932499369,6.708203932499369,10.04987562112089
26,131.0,153.0,116.5,126.5,4.0,P,40.311288741492746,38.2099463490856,40.36087214122113,38.18376618407357,15.811388300841896,18.0,14.035668847618199,15.811388300841896,49.11269783973694,54.76955199241638,43.69848430156708,46.5269113779068,16.278820596099706,16.492422502470642,14.317821063276353,15.297058540778355
27,22.5,37.5,8.5,27.5,4.0,P,46.69047011971501,43.86342439892262,44.553338819890925,42.44997055358225,7.0,8.06225774829855,4.242640687119285,8.06225774829855,23.071067690849304,24.727921843528748,11.41421353816986,23.071067690849304,7.211102550927978,8.06225774829855,3.1622776601683795,5.830951894845301
28,0.0,0.0,0.0,39.0,1.0,P,0.0,0.0,0.0,41.72529209005013,0.0,0.0,0.0,8.0,0.0,0.0,0.0,25.313708305358887,0.0,0.0,0.0,7.0710678118654755
29,63.5,40.5,12.5,0.0,3.0,P,42.42640687119285,42.44997055358225,43.93176527297759,0.0,10.770329614269007,7.810249675906654,5.656854249492381,0.0,31.55634891986847,23.899494767189026,14.242640614509583,0.0,9.055385138137417,8.06225774829855,4.47213595499958,0.0
30,57.0,4.0,18.0,4.0,4.0,P,43.139309220245984,44.68780594300866,44.553338819890925,43.840620433565945,8.94427190999916,2.8284271247461903,7.810249675906654,2.8284271247461903,28.14213538169861,8.0,21.656854152679443,8.0,9.055385138137417,2.0,6.708203932499369,2.0
31,0.0,13.5,42.5,32.0,3.0,P,0.0,44.598206241955516,42.44997055358225,42.42640687119285,0.0,7.0710678118654755,8.54400374531753,7.0,0.0,18.242640614509583,24.727921843528748,21.313708305358887,0.0,5.385164807134504,7.0,6.324555320336759
