,areaQ1,areaQ2,areaQ3,areaQ4,blobs,contourEdgesQ1,contourEdgesQ2,contourEdgesQ3,contourEdgesQ4,diagnostic,distanceQ1,distanceQ2,distanceQ3,distanceQ4,marker,perimeterQ1,perimeterQ2,perimeterQ3,perimeterQ4
893,15.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,N,44.553338819890925,-1.0,-1.0,-1.0,RV1681,17.656854152679443,0.0,0.0,0.0
894,14.5,24.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,N,43.840620433565945,43.840620433565945,-1.0,-1.0,ESAT6,15.899494647979736,20.485281229019165,0.0,0.0
895,8.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,N,44.553338819890925,-1.0,-1.0,-1.0,CFP10,11.656854152679443,0.0,0.0,0.0
896,24.5,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,N,43.840620433565945,-1.0,-1.0,-1.0,RV1681,21.899494767189026,0.0,0.0,0.0
897,6.5,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,P,44.598206241955516,-1.0,-1.0,-1.0,ESAT6,12.242640614509583,0.0,0.0,0.0
898,0.0,0.0,12.5,0.0,1.0,0.0,0.0,5.0,0.0,P,-1.0,-1.0,44.553338819890925,-1.0,CFP10,0.0,0.0,14.242640614509583,0.0
899,7.0,18.5,0.0,0.0,2.0,7.0,6.0,0.0,0.0,P,44.598206241955516,43.840620433565945,-1.0,-1.0,RV1681,13.656854152679443,17.071067690849304,0.0,0.0
900,10.0,106.5,0.0,13.0,3.0,6.0,4.0,0.0,4.0,P,44.553338819890925,38.897300677553446,-1.0,45.254833995939045,ESAT6,16.485281109809875,47.6984840631485,0.0,18.485281229019165
901,0.0,0.0,0.0,51.0,1.0,0.0,0.0,0.0,6.0,P,-1.0,-1.0,-1.0,41.72529209005013,CFP10,0.0,0.0,0.0,28.14213538169861
902,50.0,25.0,5.0,66.0,4.0,5.0,6.0,6.0,4.0,P,41.036569057366385,43.86342439892262,43.86342439892262,41.012193308819754,RV1681,28.14213526248932,20.485281109809875,8.828427076339722,31.79898953437805
903,0.0,6.5,11.0,0.0,2.0,0.0,6.0,5.0,0.0,P,-1.0,45.27692569068709,44.553338819890925,-1.0,ESAT6,0.0,10.242640614509583,16.485281109809875,0.0
904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
905,0.0,11.0,0.0,24.5,2.0,0.0,6.0,0.0,5.0,P,-1.0,44.553338819890925,-1.0,45.27692569068709,RV1681,0.0,13.656854033470154,0.0,19.899494647979736
906,0.0,10.5,12.5,0.0,2.0,0.0,4.0,4.0,0.0,P,-1.0,45.254833995939045,44.553338819890925,-1.0,ESAT6,0.0,15.899494767189026,17.899494767189026,0.0
907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
